City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,foz,43.5692,-7.2544,56.5,74,100,15.9,ES,1678227056
157,santa maria da vitoria,-13.3947,-44.1886,77.83,69,90,2.84,BR,1678227057
158,new norfolk,-42.7826,147.0587,51.3,71,86,8.01,AU,1678227057
159,ypsonas,34.6884,32.9574,56.37,72,0,1.14,CY,1678227058
160,puerto baquerizo moreno,-0.9,-89.6,77.99,94,100,3.44,EC,1678227058
161,bosobolo,4.1833,19.9,84.54,41,100,1.92,CD,1678227059
162,okha,53.5739,142.9478,10.08,97,94,5.84,RU,1678227059
163,klaksvik,62.2266,-6.589,29.32,61,100,26.69,FO,1678227060
164,bambanglipuro,-7.95,110.2833,74.57,90,47,3.33,ID,1678227061
165,constitucion,-35.3333,-72.4167,63.37,76,98,4.92,CL,1678227061
166,isangel,-19.55,169.2667,79.92,65,34,11.05,VU,1678227062
167,saint augustine,29.8947,-81.3145,87.15,77,0,3.98,US,1678226961
168,chitungwiza,-18.0127,31.0756,65.44,84,19,5.21,ZW,1678227062
169,fergus falls,46.283,-96.0776,31.15,72,100,6.91,US,1678227063
170,maragogi,-9.0122,-35.2225,79.79,79,100,11.32,BR,1678226771
171,sao francisco,-15.9486,-44.8644,71.46,87,98,2.98,BR,1678227063
172,east london,-33.0153,27.9116,71.42,92,100,14.38,ZA,1678227064
173,north bend,43.4065,-124.2243,44.17,84,75,16.11,US,1678226945
174,guipavas,48.4352,-4.3972,48.52,100,100,12.66,FR,1678227064
175,myitkyina,25.3833,97.4,62.69,54,91,2.19,MM,1678227065
176,sao filipe,14.8961,-24.4956,74.32,72,0,5.06,CV,1678227065
177,afua,-0.1567,-50.3867,75.42,95,100,6.58,BR,1678227066
178,vila velha,-20.3297,-40.2925,78.94,86,75,8.05,BR,1678227066
179,olinda,-8.0089,-34.8553,82.13,69,40,10.36,BR,1678227067
180,ahuimanu,21.4447,-157.8378,78.51,74,75,11.5,US,1678227067
181,college,64.8569,-147.8028,36.59,74,40,0.0,US,1678227068
182,havre-saint-pierre,50.2334,-63.5986,41.36,75,100,14.97,CA,1678227068
183,kathu,7.9178,98.3332,75.02,79,1,10.38,TH,1678227068
184,dickinson,29.4608,-95.0513,84.15,78,75,11.5,US,1678226938
185,debre birhan,9.6833,39.5333,50.99,49,12,4.9,ET,1678227069
186,arman,59.7,150.1667,-9.27,96,72,6.17,RU,1678227069
